keyword,frequency
said,140
trump,64
government,51
china,48
cuba,48
told,47
people,47
cuban,46
president,44
first,42
against,40
world,40
royal,39
says,37
public,37
according,36
last,36
minister,35
state,34
since,33
year,32
israel,32
country,31
energy,31
russian,30
them,29
thursday,29
gaza,29
india,28
former,28
obshina,27
iran,26
years,26
during,25
like,25
power,25
russkaya,25
military,24
officials,24
while,24
court,24
media,24
including,24
trade,23
open,23
island,23
foreign,23
streeting,23
musk,22
international,22
group,22
funding,22
security,21
news,21
havana,21
altman,21
grant,21
starmer,21
city,20
reuters,20
called,19
chinese,19
states,19
down,19
party,19
members,18
then,18
just,18
being,18
time,18
offer,18
official,18
fuel,18
israeli,18
wednesday,17
between,17
made,17
visit,17
united,17
second,17
added,17
under,17
money,17
labour,17
madrid,17
support,16
meeting,16
many,16
putin,16
need,16
reported,15
indian,15
wrote,15
came,15
right,15
economic,15
countries,15
delegation,15
well,15
blockade,15
